State,Standard
Alabama,0.0
Alaska,0.02
Arizona,0.32
Arkansas,0.0
California,1.0
Colorado,0.95
Connecticut,0.99
Delaware,0.99
District Of Columbia,1.0
Florida,0.1
Georgia,0.38
Hawaii,1.0
Idaho,0.0
Illinois,0.98
Indiana,0.0
Iowa,0.17
Kansas,0.01
Kentucky,0.0
Louisiana,0.01
Maine,0.92
Maine Cd 1,1.0
Maine Cd 2,0.13
Maryland,1.0
Massachusetts,1.0
Michigan,0.61
Minnesota,0.88
Mississippi,0.01
Missouri,0.01
Montana,0.0
Nebraska,0.0
Nebraska Cd 1,0.04
Nebraska Cd 2,0.9
Nebraska Cd 3,0.0
Nevada,0.48
New Hampshire,0.86
New Jersey,0.99
New Mexico,0.89
New York,1.0
North Carolina,0.37
North Dakota,0.0
Ohio,0.05
Oklahoma,0.0
Oregon,0.97
Pennsylvania,0.49
Rhode Island,0.99
South Carolina,0.01
South Dakota,0.0
Tennessee,0.0
Texas,0.07
Utah,0.0
Vermont,1.0
Virginia,0.9
Washington,1.0
West Virginia,0.0
Wisconsin,0.57
Wyoming,0.0
Electoral College,0.501
